Accident_ID,Speed,Traffic_Volume,Driver_Alcohol,Weather,Time_of_Day,Road_Type,Accident_Risk,Passenger_Count,Date,Road_Condition,Vehicle_Type,Driver_Experience_yrs,Severity
ACC01015,86.03945705,48.41865316,0.0,Clear,Night,City,60.63532783,5.0,20-01-2023 12:18,Wet,CAR,5,Serious
ACC02915,70.28261608,45.30151457,1.0,Clear,Night,Highway,62.78533218,1.0,20-01-2023 12:32,Wet,Two-Wheeler,15,Serious
ACC02177,35.88508459,23.96824034,0.0,Clear,Morning,Rural,18.36377706,4.0,20-01-2023 17:51,Dry,Auto,12,Minor
ACC02517,61.28839509,60.09163629,0.0,Clear,Afternoon,Rural,43.17959006,3.0,21-01-2023 09:17,Slippery,Motorcycle,3,Minor
ACC01751,20.0,72.07867093,1.0,Clear,Night,City,61.6723885,2.0,21-01-2023 13:41,Dry,Auto,29,Serious
ACC00317,70.22929457,48.92190302,1.0,Rain,Night,Highway,97.61429929,0.0,21-01-2023 19:01,Wet,Motorcycle,6,Fatal
ACC02083,38.34217776,51.68933573,1.0,Clear,Night,City,61.56307026,3.0,22-01-2023 02:38,Wet,truck,37,Serious
ACC00064,,,,,,,,5.0,22-01-2023 14:21,Dry,Motorcycle,36,
ACC02216,63.98817344,60.08575707,0.0,Rain,Night,City,56.23658246,4.0,22-01-2023 17:35,Dry,truck,2,Serious
ACC01449,78.57424607,59.6148916,1.0,Rain,Night,City,74.24814472,2.0,23-01-2023 01:34,Wet,Car,1,Fatal
ACC01413,66.83831658,28.83118733,0.0,Clear,Night,City,36.21660847,2.0,23-01-2023 06:33,Wet,Bus,29,Minor
ACC00092,74.52967486,65.19424591,0.0,Clear,Afternoon,City,41.77690376,5.0,23-01-2023 07:38,Wet,CAR,22,Minor
ACC02180,60.10199767,50.31395592,0.0,Fog,Morning,City,47.45686404,4.0,23-01-2023 10:55,Dry,Two-Wheeler,18,Minor
ACC00555,65.06403993,13.19844511,0.0,Rain,Night,Rural,68.34627192,2.0,23-01-2023 13:20,Wet,Auto,12,Fatal
ACC02244,36.53637582,63.08862054,1.0,Clear,Afternoon,Highway,55.43111595,4.0,23-01-2023 13:44,Wet,Auto,32,Serious
ACC01387,79.52611934,36.27441728,0.0,Fog,Morning,Rural,72.65219315,2.0,23-01-2023 22:19,Slippery,CAR,18,Fatal
ACC01019,55.19479038,39.64614854,0.0,Rain,Night,Highway,74.95356847,1.0,24-01-2023 10:01,Dry,Auto,8,Fatal
ACC02699,69.33104985,47.90064585,1.0,Clear,Afternoon,Highway,42.94488945,5.0,24-01-2023 18:23,Slippery,Motorcycle,27,Minor
ACC01917,48.18324372,71.25314582,0.0,Clear,Morning,City,36.23851385,4.0,25-01-2023 06:50,Slippery,Auto,2,Minor
ACC02175,47.47285648,60.99366373,0.0,Clear,Afternoon,Highway,39.06414289,3.0,25-01-2023 09:09,Wet,Two-Wheeler,6,Minor
ACC01867,75.48819307,53.81833048,1.0,Rain,Afternoon,Rural,77.37379156,1.0,25-01-2023 11:51,Dry,Auto,6,Fatal
ACC00374,74.38906239,86.14393287,0.0,Clear,Night,Highway,56.21544145,3.0,25-01-2023 12:33,Wet,Car,31,Serious
ACC02750,56.93293169,30.47199903,0.0,Fog,Afternoon,Rural,44.38690463,5.0,25-01-2023 15:40,Dry,CAR,28,Minor
ACC00872,48.02554133,53.15522879,1.0,Rain,Afternoon,Rural,59.45458656,2.0,26-01-2023 03:57,Slippery,Bus,11,Serious
ACC02205,45.65345435,97.63427063,0.0,Clear,Afternoon,Highway,40.76020381,3.0,26-01-2023 08:26,Dry,CAR,16,Minor
ACC00548,56.95431921,79.33081719,0.0,Clear,Night,City,50.45795935,1.0,26-01-2023 09:59,Wet,Car,8,Serious
ACC01817,27.72276898,76.4082802,1.0,Rain,Afternoon,City,45.60346425,4.0,26-01-2023 14:36,Wet,SUV,8,Minor
ACC00857,47.5146664,22.08421596,1.0,Rain,Night,Highway,66.8505942,0.0,26-01-2023 18:21,Wet,truck,17,Fatal
ACC02443,40.61605957,32.98773494,1.0,Fog,Night,Highway,86.29397054,3.0,26-01-2023 20:41,Dry,Car,36,Fatal
ACC01160,55.12752925,51.6833646,0.0,Clear,Afternoon,Rural,41.68898928,0.0,26-01-2023 21:56,Slippery,Truck,37,Minor
ACC01515,58.75978971,46.44164248,0.0,Clear,Morning,City,46.12702245,5.0,26-01-2023 23:59,Slippery,Car,8,Minor
ACC01259,49.42482216,48.16587952,0.0,Clear,Morning,Highway,39.96645879,3.0,27-01-2023 03:37,Dry,truck,4,Minor
ACC00351,64.66361348,39.61207256,0.0,Clear,Night,Rural,62.21013871,3.0,27-01-2023 16:26,Wet,truck,1,Serious
ACC02590,59.04713138,80.8064796,0.0,Clear,Afternoon,City,51.57673191,4.0,27-01-2023 19:32,Slippery,Auto,7,Serious
ACC01394,62.04802997,39.34549004,0.0,Clear,Night,Highway,44.42128958,2.0,27-01-2023 20:24,Wet,Motorcycle,26,Minor
ACC01771,60.6540367,50.30365885,1.0,Clear,Afternoon,City,55.8721284,1.0,28-01-2023 05:38,Dry,Car,28,Serious
ACC02369,43.2521334,40.22227762,0.0,Clear,Afternoon,City,26.79543626,1.0,28-01-2023 21:17,Wet,CAR,34,Minor
ACC01561,59.67949058,28.59616874,0.0,Clear,Morning,Highway,38.88393657,,28-01-2023 23:48,Slippery,car,28,Minor
ACC01245,50.26083682,50.50421735,0.0,Rain,Night,City,64.80903211,5.0,29-01-2023 05:38,Slippery,Truck,29,Fatal
ACC01196,66.60712107,40.08243656,1.0,Fog,Morning,Rural,80.69428131,2.0,29-01-2023 11:04,Wet,Motorcycle,21,Fatal
ACC02816,72.21227643,63.68326417,0.0,Rain,Morning,Rural,57.80924812,0.0,29-01-2023 12:43,Dry,truck,10,Serious
ACC02007,60.01808213,70.96965302,1.0,Fog,Night,Highway,101.3415433,1.0,29-01-2023 19:06,Wet,Bus,37,Fatal
ACC00976,31.65688904,53.83154792,0.0,Rain,Afternoon,Highway,42.23092049,0.0,30-01-2023 06:36,Dry,CAR,17,Minor
ACC02058,73.11583771,50.38916511,0.0,Clear,Morning,City,54.59851415,2.0,30-01-2023 13:57,Wet,Truck,21,Serious
ACC00839,74.76483598,30.63908483,0.0,Rain,Night,Highway,68.82145819,5.0,30-01-2023 21:39,Slippery,Auto,2,Fatal
ACC02639,44.51214145,43.20481985,0.0,Clear,Afternoon,Highway,32.80457986,2.0,31-01-2023 00:10,Dry,Car,5,Minor
ACC01711,76.60621004,37.83298471,0.0,Clear,Afternoon,Highway,51.16582363,4.0,31-01-2023 01:13,Dry,Truck,20,Serious
ACC01092,59.44166645,78.41008575,0.0,Clear,Afternoon,Highway,53.8271046,1.0,31-01-2023 01:32,Dry,Motorcycle,0,Serious
ACC01926,46.20923113,39.97531784,1.0,Clear,Morning,Rural,41.66866333,5.0,31-01-2023 02:14,Slippery,CAR,34,Minor
ACC02265,70.20324158,73.8217171,0.0,Clear,Afternoon,Rural,43.1445,4.0,31-01-2023 02:47,Wet,Auto,27,Minor
ACC00041,71.0769987,62.20432339,0.0,Fog,Night,City,79.35795013,1.0,31-01-2023 12:24,Slippery,car,6,Fatal
ACC01391,66.89958214,60.29767192,0.0,Fog,Morning,Rural,70.74404988,2.0,31-01-2023 18:45,Dry,Auto,30,Fatal
ACC00862,37.26383828,34.21322989,0.0,Rain,Afternoon,City,54.37133921,2.0,31-01-2023 20:17,Wet,CAR,32,Serious
ACC01729,65.5093097,81.85339997,0.0,Clear,Night,Highway,54.19831081,3.0,01-02-2023 16:39,Slippery,truck,38,Serious
ACC02944,57.14245341,19.11132304,0.0,Clear,Night,Highway,37.26899297,3.0,01-02-2023 18:07,Dry,SUV,9,Minor
ACC01230,93.15784502,50.17112162,0.0,Rain,Morning,Highway,77.18551648,2.0,01-02-2023 20:53,,Truck,15,Fatal
ACC00269,53.3993327,54.62891845,0.0,Clear,Morning,Highway,39.31522697,2.0,01-02-2023 22:00,Slippery,Auto,32,Minor
ACC01388,83.42266795,21.34657421,0.0,Clear,Afternoon,Rural,44.9339579,0.0,02-02-2023 11:17,Slippery,Truck,29,Minor
ACC01506,53.20157926,57.58810795,0.0,Rain,Night,City,53.35879157,0.0,02-02-2023 18:52,Slippery,SUV,16,Serious
ACC02698,40.3167121,35.09664459,0.0,Rain,Morning,City,44.74712849,,03-02-2023 02:38,Dry,Bus,39,Minor
ACC01219,47.4697942,56.48917209,0.0,Clear,Morning,Rural,27.217171,3.0,03-02-2023 05:51,Slippery,Two-Wheeler,32,Minor
ACC02898,85.87044975,71.63028173,0.0,Fog,Morning,Highway,84.5814259,3.0,03-02-2023 06:31,Dry,truck,5,Fatal
ACC00194,41.31391832,37.64716646,0.0,Rain,Afternoon,Rural,40.75446104,2.0,03-02-2023 13:09,Dry,Auto,2,Minor
ACC01869,43.63550355,52.93870597,1.0,Clear,Afternoon,Highway,48.47886386,2.0,03-02-2023 15:29,Dry,Two-Wheeler,38,Serious
ACC01297,73.78614724,28.89821264,0.0,Rain,Morning,Rural,47.8294138,4.0,03-02-2023 15:46,,truck,9,Minor
ACC00766,49.45235362,50.35226504,0.0,Clear,Afternoon,Highway,37.76233618,5.0,04-02-2023 00:12,Wet,CAR,27,Minor
ACC01562,48.79182481,84.38081226,0.0,Clear,Night,Rural,66.08946531,5.0,04-02-2023 00:50,Dry,Car,34,Fatal
ACC01246,41.640896,19.13763544,0.0,Rain,Afternoon,City,40.68018503,5.0,04-02-2023 02:26,Slippery,truck,19,Minor
ACC00387,65.12633964,33.67565511,0.0,Rain,Night,City,60.61353313,3.0,04-02-2023 06:03,Dry,Car,0,Serious
ACC01781,38.90523804,55.58167717,0.0,Fog,Morning,City,54.69444023,,04-02-2023 06:30,Dry,CAR,0,Serious
ACC01620,77.22668564,47.88362485,1.0,Clear,Night,City,83.3016727,5.0,04-02-2023 11:35,Dry,Motorcycle,3,Fatal
ACC01073,61.15232837,19.24830407,0.0,Clear,Morning,Rural,26.11089469,1.0,04-02-2023 14:21,Wet,car,3,Minor
ACC01307,60.42271736,37.39950041,0.0,Fog,Night,City,60.5561203,4.0,04-02-2023 20:03,Wet,CAR,28,Serious
ACC00429,75.8763673,58.88396655,0.0,Rain,Night,Highway,66.69501333,5.0,05-02-2023 13:08,Dry,Truck,34,Fatal
ACC00790,35.085586,76.06556075,0.0,Rain,Morning,Rural,35.23512749,1.0,05-02-2023 14:10,Slippery,Motorcycle,24,Minor
ACC00093,49.46920359,48.11082571,1.0,Clear,Afternoon,Rural,70.87438581,5.0,05-02-2023 19:21,Slippery,Two-Wheeler,39,Fatal
ACC01650,98.84345463,45.41235336,0.0,Clear,Morning,Highway,45.74890762,0.0,05-02-2023 19:37,Wet,CAR,30,Minor
ACC00157,87.98661767,25.25146724,0.0,Rain,Morning,Highway,57.2865704,0.0,05-02-2023 19:51,Wet,Car,36,Serious
ACC01448,68.79546028,51.99773909,1.0,Clear,Afternoon,Highway,61.69198499,5.0,06-02-2023 10:21,Dry,Motorcycle,38,Serious
ACC02107,46.49068898,29.4005545,0.0,Clear,Night,Rural,21.60014258,1.0,06-02-2023 10:28,Slippery,Bus,7,Minor
ACC02151,57.36218393,95.51650855,0.0,Clear,Morning,Highway,46.65921372,4.0,06-02-2023 12:58,Dry,Car,7,Minor
ACC01578,77.47109032,86.41087816,0.0,Rain,Afternoon,Rural,64.84801078,1.0,06-02-2023 14:35,Wet,Two-Wheeler,7,Fatal
ACC00762,61.83014722,49.77815992,0.0,Fog,Morning,Highway,45.31048592,4.0,06-02-2023 23:46,Slippery,truck,28,Minor
ACC01795,63.19794942,46.99766097,0.0,Clear,Morning,Highway,50.85373987,5.0,07-02-2023 02:37,Slippery,Truck,27,Serious
ACC02589,47.99942153,73.72290948,0.0,Fog,Afternoon,Rural,65.82353863,4.0,07-02-2023 09:26,Wet,Two-Wheeler,8,Fatal
ACC01714,72.71132516,57.13945519,1.0,Fog,Night,City,110.3098445,2.0,07-02-2023 09:51,Dry,Motorcycle,14,Fatal
ACC00601,71.35482925,33.52129026,0.0,Clear,Morning,City,43.54108047,3.0,07-02-2023 11:35,Dry,SUV,24,Minor
ACC01595,24.55601347,49.83773597,0.0,Clear,Morning,Highway,30.99402536,3.0,07-02-2023 12:41,Dry,car,35,Minor
ACC01831,70.62321635,67.37545001,0.0,Clear,Afternoon,Rural,45.71592852,0.0,07-02-2023 17:14,Wet,Auto,6,Minor
ACC01287,32.4569194,40.84733501,0.0,Clear,Night,Rural,30.89914731,2.0,07-02-2023 17:25,Slippery,Two-Wheeler,34,Minor
ACC01603,50.31053731,82.70132789,1.0,Rain,Afternoon,City,59.31209548,3.0,08-02-2023 00:43,Wet,Truck,29,Serious
ACC00224,35.80926193,63.904058,0.0,Clear,Night,Rural,48.24807774,5.0,08-02-2023 01:16,Dry,Bus,2,Minor
ACC00556,53.82184551,49.35438778,0.0,Rain,Afternoon,Highway,52.62841117,4.0,08-02-2023 06:32,Wet,Truck,1,Serious
ACC02894,63.23094758,19.59426416,0.0,Rain,Afternoon,Highway,38.75177523,4.0,08-02-2023 12:06,Dry,truck,31,Minor
ACC01262,61.14008087,44.26411529,0.0,Rain,Afternoon,Rural,54.41562268,1.0,08-02-2023 16:17,Wet,Bus,26,Serious
ACC01895,58.67455561,28.71559986,0.0,Clear,Afternoon,Rural,41.95529817,1.0,08-02-2023 16:57,Slippery,Car,15,Minor
ACC02576,43.32049461,10.85322822,0.0,Clear,Morning,Highway,39.05995379,4.0,08-02-2023 17:05,Dry,Motorcycle,26,Minor
ACC02702,76.36470638,45.65682386,0.0,Clear,Afternoon,Rural,45.15005741,5.0,08-02-2023 19:26,Slippery,truck,39,Minor
ACC02194,39.55238993,38.17430422,0.0,Clear,Morning,Rural,37.70850315,4.0,08-02-2023 20:16,Slippery,Motorcycle,24,Minor
ACC01398,45.42578942,30.71599857,0.0,Fog,Morning,City,30.93073696,1.0,09-02-2023 04:31,Dry,Auto,20,Minor
ACC00516,71.33086839,59.50861365,0.0,Rain,Night,Rural,62.87483068,3.0,09-02-2023 14:01,Dry,car,2,Serious
ACC01331,82.96126249,63.62724653,0.0,Clear,Morning,Highway,46.59445426,0.0,10-02-2023 15:50,Slippery,truck,18,Minor
ACC02466,73.30936256,49.57510441,0.0,Clear,Night,City,44.44292461,1.0,11-02-2023 04:57,Slippery,Auto,10,Minor
ACC02719,51.11466067,61.11882903,0.0,Clear,Afternoon,City,43.11075999,5.0,11-02-2023 06:01,Slippery,Truck,34,Minor
ACC00876,86.91836795,73.83798669,1.0,Clear,Afternoon,Highway,90.47010997,3.0,11-02-2023 06:59,Slippery,truck,30,Fatal
ACC01893,53.45421164,38.61100451,0.0,Rain,Morning,Rural,61.17532627,3.0,11-02-2023 08:06,Dry,CAR,21,Serious
ACC00056,73.96920179,32.86455812,0.0,Clear,Afternoon,Rural,42.85476507,3.0,11-02-2023 10:45,Dry,Bus,20,Minor
ACC00096,38.04727578,75.58929863,0.0,Fog,Afternoon,City,58.9838819,2.0,11-02-2023 13:48,Slippery,Bus,9,Serious
ACC00553,77.51673092,56.93419955,1.0,Clear,Morning,Highway,56.01467318,2.0,11-02-2023 18:33,Dry,Bus,18,Serious
ACC02587,40.21129208,37.11319466,0.0,Clear,Afternoon,Highway,31.07105079,3.0,11-02-2023 23:32,Wet,truck,32,Minor
ACC00908,71.19380349,21.86369981,0.0,Rain,Afternoon,City,39.14501971,5.0,12-02-2023 13:49,Dry,Car,2,Minor
ACC02209,55.30412954,29.48263788,0.0,Rain,Night,Highway,64.88023487,4.0,12-02-2023 17:30,Slippery,Motorcycle,3,Fatal
ACC00947,37.11712244,60.75259806,0.0,Rain,Morning,Rural,50.55262004,5.0,13-02-2023 10:43,Slippery,Truck,24,Serious
ACC00171,46.65728356,31.08507879,1.0,Rain,Afternoon,Rural,51.33329561,2.0,13-02-2023 10:47,Dry,Two-Wheeler,7,Serious
ACC01882,84.23374235,77.4782877,0.0,Rain,Morning,Highway,77.86030219,1.0,13-02-2023 13:08,Wet,SUV,34,Fatal
